url	visible_doc_body_chars	normalized_body_sha256	screening_state	provisional_action	decision_evidence	stop_condition
/guides/0-intro/	393	bacb05ada7cf40ffc5c61c722ba7afdabcaeedbd9594a5cf3ff9fa7ac51ffc31	short-body	merge-or-rewrite-candidate	GSC query/page and overlap with homepage/pillar	No redirect from character count alone
/guides/1-order/	1321	b05f146dceb166c562a4803d99083ef8b0b69eb7dd586c4e75eae06c3b5f8bad	not-short-by-this-screen	defer-commerce	Real SKU/payment/fulfillment/refund/support evidence	Do not expand purchase intent
/guides/3-account/	285	8f8037371b3aeac0da4a8b53409bd570313824b71f5ff7c7344af71505e87595	exact-duplicate-and-short	default-retain-owner	GSC query/page and account-control intent review	Do not claim final owner before GSC
/guides/3-app/	288	7b00fb05ceb3bec179ab28d9ca36a3206c3b9c8fe5a526f29c8cc3ea393f6992	short-body	retain-and-deepen-candidate	Current official App workflow and GSC demand	Do not copy eSIM workflow
/guides/4-recharge-service/	303	fb7732de50ccba3470b860a02948987e1a50236f062b3c99dc72c0dfddc67670	short-body-and-security-blocked	defer-or-noindex-candidate	Owner-approved credential boundary and real service flow	No passwords, OTPs, cookies or full card data
/guides/5-travel-data/	302	0af401573a284300e1a1e9e649114c55e9373c8122a1ce575fb32fc904860f72	short-body-and-owner-conflict	retain-add-on-intent-candidate	GSC/SERP overlap and current Travel Data Add-on source	Must not own China PAYG arithmetic
/more/00-wechat/	258	f13c68529b6405e5c1f8a520951a0c074b19b09388391467ba7628e9ad439ed7	short-body-no-platform-evidence	merge-or-noindex-candidate	Current official platform policy or qualifying platform samples	No delivery guarantee
/more/02-telegram/	247	e88da2f7942f0bfef8f2fb5ea95edd9c296c2f12df52196c09372caf12e30e7b	short-body-no-platform-evidence	merge-or-noindex-candidate	Current official platform policy or qualifying platform samples	No delivery guarantee or bypass advice
/qa/00-username/	285	8f8037371b3aeac0da4a8b53409bd570313824b71f5ff7c7344af71505e87595	exact-duplicate-and-short	rewrite-or-301-candidate	GSC query/page; independent username-recovery intent	No action before GSC; body must not remain duplicated
/qa/01-change-number/	225	47678fa073eb6f98b794db73fb6ddc79031a5c1313c8ced290a2e74dbc2d2ef0	short-body	retain-and-deepen-candidate	Current official number-change policy and GSC query data	No fixed limits without current source
/qa/02-topup/	309	6c1862e58ebfe78ead2841c60cd72d211214e3a135ea7b4050d7f94507bd29d8	short-body	retain-self-service-intent-candidate	Current official Credit/plan source and GSC query data	Do not merge into third-party recharge service
/qa/03-reissue/	261	bc10b0c6ac509780d0d2fef1d80d43a3be7e0a121db46ab4e7d50bb430d2ba66	short-body	retain-recovery-intent-candidate	Current lost/replacement SIM source and GSC query data	Do not imply direct eSIM replacement where unsupported
/qa/04-choose-number/	176	a9586d61762e907ee9638c6a584709d5a9bf89ca36b4168e473719d99254373b	short-body	merge-or-rewrite-candidate	Current official policy and independent query evidence	No number-choice guarantee
/qa/05-multiple-number/	166	2958ace403f1af2fb8336b030748eb56a3e8b048aade29391f653fe7aca3fc43	short-body-intent-gap	retain-and-answer-directly-candidate	Current official account/SIM rule and GSC query data	Title question must receive a sourced direct answer
/qa/06-activation-expiration/	180	29c52b453153bbab568c817b0e56eaba04c6c32581204f641fd9e08a3ae1ac28	short-body-overlap	merge-or-micro-answer-candidate	GSC query/page and activation-owner overlap	No inventory-state inference
/qa/07-voicemail-switch/	175	6fbcc3cd6ca122ce7b7249221a42e4a8587e85a98fdad2726fd7dca8d2db5de2	short-body	retain-and-deepen-candidate	Current official voicemail workflow and GSC query data	Versioned steps must expire
/qa/08-gv/	207	24e5e69d6f03c797ed78a53fa09398ed5f891a28b80d5fc6d7efbede4496d1ea	short-body-no-platform-evidence	merge-or-noindex-candidate	Current Google Voice policy or qualifying platform samples	No eligibility or OTP guarantee
/qa/09-spread/	376	be0ff9cfb0fccdfce5f19dd71d6a746548f4484c358616ffec3eefe5f7fca993	short-body-high-volatility	defer-or-noindex-candidate	Current official programme terms and programme-status evidence	No fixed reward promise or authorization inference
