evidence_id	claim_group_id	claim	claim_value	entity	timeframe	source_id	source_url	source_type	access_date	excerpt_or_observation	evidence_grade	supports	counter_evidence	verification_status	confidence	independent_source_count	source_independence	reviewer_status	review_notes
EC-R01-01	crawl-policy	Production allows major search/answer crawlers and disallows listed training crawlers	search-answer-allow_training-disallow	getgiffgaff.com	2026-07-17	SRC-R01-ROBOTS	https://getgiffgaff.com/robots.txt	official	2026-07-17	Content-Signal search=yes ai-train=no use=reference; search/answer bot groups allow root and listed training bot groups disallow root	strong	fact	Permission cannot prove crawling indexing ranking or citation	single_source	high	1	independent	accepted	Direct production observation independently cross-checked by curator
EC-R01-02	crawl-discovery	Production sitemap exposes 39 canonical URLs including five new indexable growth paths	39_urls	getgiffgaff.com	2026-07-17	SRC-R01-SITEMAP	https://getgiffgaff.com/sitemap.xml	official	2026-07-17	HTTP 200 and 39 loc elements; the five new indexable paths are present with 2026-07-16 lastmod	strong	fact	Sitemap presence cannot prove platform ingestion or indexation	single_source	high	1	independent	accepted	Matches manifest and curator HTTP check
EC-R01-03	ai-retrieval-surface	Production publishes a readable llms.txt with canonical resources and an independent-site disclosure	llms_txt_present	getgiffgaff.com	2026-07-17	SRC-R01-LLMS	https://getgiffgaff.com/llms.txt	official	2026-07-17	HTTP 200; file identifies getgiffgaff and states it is an independent third-party Chinese tutorial and sales service site	strong	fact	llms.txt adoption is voluntary and does not guarantee use or citation	single_source	high	1	independent	accepted	Supporting file correctly carries noindex follow
EC-R01-04	html-indexing	Sampled canonical homepage guide tool and research pages return 200 with index follow headers	200_index_follow	getgiffgaff.com	2026-07-17	SRC-R01-HTTP	https://getgiffgaff.com/	official	2026-07-17	Four representative production responses returned HTML 200 and X-Robots-Tag index follow with unrestricted snippets	strong	fact	Sample does not replace all-39 URL validation	single_source	high	1	independent	accepted	Curator repeated representative HTTP checks
EC-R01-05	render-and-canonical	Sampled pages expose self-canonical links and primary Chinese content in initial HTML	self_canonical_server_visible	getgiffgaff.com	2026-07-17	SRC-R01-HTML	https://getgiffgaff.com/guides/7-arrival-checklist/	official	2026-07-17	Raw HTML contains a self-referencing canonical and the answer/checklist body without client execution	strong	fact	Does not prove every interactive result is server-rendered	single_source	high	1	independent	accepted	Raw HTTP is the primary observation; Jina rendering is not counted as independent
EC-R01-06	structured-data	Representative templates emit parseable conservative JSON-LD types	jsonld_present	getgiffgaff.com	2026-07-17	SRC-R01-SCHEMA	https://getgiffgaff.com/tools/g0-g2-total-cost/	official	2026-07-17	Sample types include Organization WebSite Brand Article WebApplication BreadcrumbList and existing FAQPage	strong	fact	Presence does not guarantee Google rich results	single_source	high	1	independent	accepted	Repository 80-test gate also parses all release JSON-LD
EC-R01-07	external-discovery	Exa returned the homepage shop contact and repository for site and brand queries	exa_discoverable	getgiffgaff.com	2026-07-17	SRC-R01-EXA	https://getgiffgaff.com/	seo	2026-07-17	Exa query results contained site pages and the public GitHub repository	medium	fact	Does not represent Google Bing Baidu indexing or keyword rank	single_source	medium	1	independent	accepted	Use only as third-party discovery signal
EC-R02-01	activation	Physical SIM activation uses an activation code or 13-digit SSN and activating another SIM on an active account performs a SIM swap	activation_code_or_ssn_one_active_sim	giffgaff physical SIM	2026-07-17	SRC-R02-ACTIVATE	https://help.giffgaff.com/en/articles/240393-activating-your-giffgaff-sim	official	2026-07-17	Official help states 13 digit code on SIM only one SIM active and another activation on the account performs SIM swap	strong	fact	Does not establish the state of any G0 or G2 inventory	single_source	high	1	independent	accepted	Supports activation and accidental SIM-swap warning only
EC-R02-02	inactivity	Six months without a listed qualifying action leads to deactivation; a deactivated SIM cannot be reactivated and PAC may be requested within 30 days	6_months_no_reactivation_30_day_pac	giffgaff SIM and number	2026-07-17	SRC-R02-INACTIVE	https://help.giffgaff.com/en/articles/242797-understanding-why-your-number-has-been-deactivated	official	2026-07-17	Official help lists outbound call SMS MMS mobile data Airtime Credit or plan purchase and states no reactivation	strong	fact	Receiving SMS is not listed; month-five reminder is a site buffer	single_source	high	1	independent	accepted	Core reminder evidence; page should state the deactivation boundary more narrowly
EC-R02-03	esim-switch	Official eSIM switching is app-based on a compatible unlocked device and does not provide QR SM-DP+ or manual activation codes	app_only_no_qr	giffgaff eSIM	2026-07-17	SRC-R02-ESIM	https://help.giffgaff.com/en/articles/261570-switching-to-an-esim-with-giffgaff	official	2026-07-17	Official requirements and FAQ specify latest app compatible unlocked device old SIM stops and no manual QR path	strong	fact	Device examples are not an exhaustive compatibility matrix	single_source	high	1	independent	accepted	Supports official-path and safety boundary
