query_id	observed_order	title	url	source_channel	observed_at	classification	claim_boundary
QO-01	1	英国 giffgaff 手机卡激活全流程 + 实用经验分享 - V2EX	https://www.v2ex.com/t/1193706	Bing RSS via Jina	2026-07-17	community-anecdote	Existence and title only; no accuracy, success or demand inference
QO-02	1	2026 Giffgaff 保号操作指南：从个人维护到多号码管理	https://www.duoplus.cn/blog/giffgaff-keep-number-guide-2026/	Bing RSS via Jina	2026-07-17	third-party-guide	Observed title/snippet only; rules and product claims require primary-source verification
QO-02	2	2026 年 giffgaff 激活、充值、保号完整指南：从拿到卡到长期使用	https://zhuanlan.zhihu.com/p/2060740740431492431	Bing RSS via Jina	2026-07-17	third-party-guide	Observed title/snippet only; claimed readership and first-hand experience not independently verified
QO-02	3	Giffgaff 电话卡激活、资费与低成本保号终极指南 (2026最新版) | MollySIM Blog	https://mollysim.com/blog/giffgaff-ultimate-activation-preservation-guide-zh-cn	Bing RSS via Jina	2026-07-17	third-party-guide	Observed title/snippet only; prices and superlatives not accepted
QO-02	4	giffgaff 完全使用教程：从购卡到保号一篇看懂 · LarkSim	https://larksim.com/guide/giffgaff-guide	Bing RSS via Jina	2026-07-17	third-party-guide	Observed title/snippet only; current prices and China behavior require verification
QO-02	5	免费领取 Giffgaff 英国真实号码 | 0月租长期保号首选 | 适用各平台注册验证 | 支持eSIM	https://blog.nbvil.com/sim/giffgaff/	Bing RSS via Jina	2026-07-17	commercial-high-risk	Title contains broad stability/platform claims; appearance is not truth
QO-02	6	如何保号 汇总教程 - mySim	https://notes.mysim.top/giffgaff/baohao.html	Bing RSS via Jina	2026-07-17	third-party-guide	Observed title/snippet only; self-SMS and cost advice require official verification
QO-02	7	giffgaff 保号完全教程：回国后长期保留英国号码（2026） · LarkSim	https://larksim.com/guide/giffgaff-keep-number	Bing RSS via Jina	2026-07-17	third-party-guide	Observed title/snippet only; no durability or outcome inference
QO-02	8	英国giffgaff保号完全攻略2026：激活、保号、注册TikTok/WhatsApp/ChatGPT | BUYHKSIM	https://buyhksim.com/guide-giffgaff.php	Bing RSS via Jina	2026-07-17	commercial-high-risk	Platform-registration and low-cost claims are attributed title text only
QO-02	9	英国giffgaff保号卡使用教程 – CyberCat Lab	https://cybercatlab.com/2025/12/06/%E8%8B%B1%E5%9B%BDgiffgaff%E4%BF%9D%E5%8F%B7%E5%8D%A1%E4%BD%BF%E7%94%A8%E6%95%99%E7%A8%8B/	Bing RSS via Jina	2026-07-17	third-party-guide	Observed title/snippet only; superlatives and platform suitability are not accepted
QO-02	10	2025年10月英国卡Giffgaff的6块人民币保号卡-手把手教你购买、激活、充值、保号最低保号成本境外电话卡全教程	https://www.maizimi.com/oversea/oversea-tel-giffgaff/	Bing RSS via Jina	2026-07-17	commercial-high-risk	Observed title/snippet only; cost and lowest-cost claims are not accepted
QO-03	1	Giffgaff 常见问题（新人必看）	https://giffgaff.us/post/7.html	Exa via Agent Reach	2026-07-17	third-party-high-risk	Public platform/RCS assertions require current primary-source verification
QO-03	2	收不到验证码	https://community.giffgaff.com/d/34214512	Exa via Agent Reach	2026-07-17	community-result	Title/date appearance only; direct content access was unsuccessful
QO-03	3	激活后注意事项 | Giffgaff 充值	https://www.giffgaff.gg/blog/notice-after-active	Exa via Agent Reach	2026-07-17	commercial-high-risk	Proxy/IP/platform advice is attributed third-party content, not endorsed
QO-03	4	giffgaff 避坑指南（2025 年最新整理）	https://github.com/youweijinjin/giffgaff	Exa via Agent Reach	2026-07-17	third-party-repository	Repository statements are not operator policy or success evidence
QO-03	5	注册接码问题 · Issue #4 · giffgaffchina/giffgaffchina.github.io	https://github.com/giffgaffchina/giffgaffchina.github.io/issues/4	Exa via Agent Reach	2026-07-17	community-high-risk	Issue statements are anecdotal and may encourage risky platform workarounds
QO-03	6	siuserxiaowei/getgiffgaff	https://github.com/siuserxiaowei/getgiffgaff	Exa via Agent Reach	2026-07-17	self-owned	Self-owned discovery is not an independent brand mention or backlink
QO-03	7	giffgaff申请giffgaff接收不到验证码？giffgaff发不出短信?	https://www.ifuyou.link/2023/11/giffgaffgiffgaff.html	Exa via Agent Reach	2026-07-17	third-party-high-risk	Old third-party claims require current source and safety review
QO-03	8	我用 GiffGaff 卡注册谷歌账号，卡在验证码发送那一步，每次都发送失败。 - V2EX	https://www.v2ex.com/t/1218683	Exa via Agent Reach	2026-07-17	community-anecdote	Conflicting user reports are anecdotes, not platform policy or causal proof
QO-03	9	giffgaff接收短信失败的常见原因有哪些？_编程语言-CSDN问答	https://ask.csdn.net/questions/9239296	Exa via Agent Reach	2026-07-17	unverified-technical	Unverified statistics and commands must not be reused without primary evidence
