agent_id	task_id	lane	claim_group_id	evidence_ids	source_ids	status	verification_status	confidence	notes
R01	R01-TECH-GEO	worker	crawl-policy,crawl-discovery,ai-retrieval-surface,html-indexing,render-and-canonical,structured-data,external-discovery	EC-R01-01..07	SRC-R01-ROBOTS,SRC-R01-SITEMAP,SRC-R01-LLMS,SRC-R01-HTTP,SRC-R01-HTML,SRC-R01-SCHEMA,SRC-R01-EXA	done	single_source=6; corroborated_by_repo_gate=1	high	Worker self-checked direct production observations
CURATOR-01	CURATE-R01	curator	R01-ALL	EC-R01-01..07	SRC-R01-ROBOTS,SRC-R01-SITEMAP,SRC-R01-LLMS,SRC-R01-HTTP,SRC-R01-HTML,SRC-R01-SCHEMA,SRC-R01-EXA	accepted	accepted=7	high	Curator repeated representative HTTP checks and npm verify; no ranking/indexing claims accepted
R03	R03-SEARCH-INTENT	worker	search-intent-language	EC-R03-01..13	SRC-R03-YT-KEEP,SRC-R03-YT-ACTIVATE,SRC-R03-YT-OTP,SRC-R03-YT-ESIM,SRC-R03-YT-TOPUP,SRC-R03-YT-ROAMING,SRC-R03-BILI-ESIM,SRC-R03-BILI-SPEED,SRC-R03-V2EX-ESIM,SRC-R03-COMPETITOR-QUERIES,SRC-R03-CLUSTER-PLAN,SRC-R03-X-SEARCH,SRC-R03-EXA-SEARCH	done	single_source=11; blocked=2	medium	Worker reconstructed pending wording/problem-signal cards; no volume prevalence rank conversion or success inference
CURATOR-03	CURATE-R03	curator	search-intent-language	EC-R03-01..13	SRC-R03-YT-KEEP,SRC-R03-YT-ACTIVATE,SRC-R03-YT-OTP,SRC-R03-YT-ESIM,SRC-R03-YT-TOPUP,SRC-R03-YT-ROAMING,SRC-R03-BILI-ESIM,SRC-R03-BILI-SPEED,SRC-R03-V2EX-ESIM,SRC-R03-COMPETITOR-QUERIES,SRC-R03-CLUSTER-PLAN,SRC-R03-X-SEARCH,SRC-R03-EXA-SEARCH	partially-curated-open-cards	accepted=11; pending=2; rejected=0	medium	Curator independently reran YouTube Bilibili V2EX and local-corpus checks; X search remains 404 and the legacy Exa result set remains unrecoverable despite current fresh-query access
R02	R02-OFFICIAL-FACTS	worker	activation,inactivity,esim-switch,china-payg-rates,china-travel-addon,uk-coverage,sms-policy,credit-plans,account-boundary,international-delivery	EC-R02-01..10	SRC-R02-ACTIVATE,SRC-R02-INACTIVE,SRC-R02-ESIM,SRC-R02-CHINA-RATES,SRC-R02-TRAVEL-ADDON,SRC-R02-TERMS,SRC-R02-SMS-POLICY,SRC-R02-CREDIT,SRC-R02-ORDER	done	single_source=10	high	Twelve distinct official page references across five indexable growth pages returned 200 without redirect
CURATOR-02	CURATE-R02	curator	R02-ALL	EC-R02-01..10	SRC-R02-ACTIVATE,SRC-R02-INACTIVE,SRC-R02-ESIM,SRC-R02-CHINA-RATES,SRC-R02-TRAVEL-ADDON,SRC-R02-TERMS,SRC-R02-SMS-POLICY,SRC-R02-CREDIT,SRC-R02-ORDER	accepted	accepted=10	high	Official facts accepted narrowly; categorical G2 compliance payment delivery and OTP claims excluded
R05	R05-LINKABLE-ASSETS	worker	linkable-asset-patterns	EC-R05-01..08	SRC-R05-GOV-CHECKLIST,SRC-R05-GOV-CALCULATOR,SRC-R05-OWID-TOURISM,SRC-R05-AGENTCALC,SRC-R05-PACKLIGHTLY,SRC-R05-CUSTOMCHECKLIST,SRC-R05-BETTERSIM,SRC-R05-NUMBEO	done	single_source=7; blocked=1	medium-high	Seven directly identifiable current asset forms and one blocked historical GOV.UK calculator identity; the current BetterSIM match does not recover its old citation provenance, and no traffic ranking citation or backlink claims are made
CURATOR-05	CURATE-R05	curator	linkable-asset-patterns	EC-R05-01..08	SRC-R05-GOV-CHECKLIST,SRC-R05-GOV-CALCULATOR,SRC-R05-OWID-TOURISM,SRC-R05-AGENTCALC,SRC-R05-PACKLIGHTLY,SRC-R05-CUSTOMCHECKLIST,SRC-R05-BETTERSIM,SRC-R05-NUMBEO	partially-curated-open-cards	accepted=7; pending=1; rejected=0	medium-high	Curator accepted seven bounded current asset-form observations, including an independently red-teamed BetterSIM cost-calculator page; the unidentified GOV calculator remains pending and the old BetterSIM citation provenance remains unrecovered
R04	R04-BACKLINKS	worker	backlink-profile	EC-R04-01..08	SRC-R04-AUTH-CHECK,SRC-R04-COMMONCRAWL,SRC-R04-MOZ,SRC-R04-BING,SRC-R04-DATAFORSEO,SRC-R04-GITHUB-SEARCH,SRC-R04-LEGACY-SUMMARY,SRC-R04-SUFFICIENCY-GATE	done	single_source=4; blocked=4	low	Current data scores fewer than four of seven profile factors; old two-referrer lower bound is not auditable and no numeric score is permitted
CURATOR-04	CURATE-R04	curator	backlink-profile	EC-R04-01..08	SRC-R04-AUTH-CHECK,SRC-R04-COMMONCRAWL,SRC-R04-MOZ,SRC-R04-BING,SRC-R04-DATAFORSEO,SRC-R04-GITHUB-SEARCH,SRC-R04-LEGACY-SUMMARY,SRC-R04-SUFFICIENCY-GATE	partially-curated-open-cards	accepted=4; pending=4; rejected=0	low	Curator reran capability Common Crawl and exact GitHub checks and accepted only the no-score boundary; Moz Bing DataForSEO and exact legacy referrer evidence remain blocked
