source_id	url	source_type	tier	status	access_date	owner_worker	title	notes
SRC-R22-GSC-SPAM	https://developers.google.com/search/docs/essentials/spam-policies#link-spam	official_policy	required	verified	2026-07-17	R22	Google Search spam policies: link spam	Direct official policy; supports link-scheme boundaries, not ranking predictions
SRC-R22-GSC-REL	https://developers.google.com/search/docs/crawling-indexing/qualify-outbound-links	official_policy	required	verified	2026-07-17	R22	Google qualify outbound links	Direct official definitions for sponsored, ugc and nofollow
SRC-R23-GSC-HELPFUL	https://developers.google.com/search/docs/fundamentals/creating-helpful-content	official_guidance	important	verified	2026-07-17	R23	Google creating helpful content	Original information, reporting, research or analysis is a self-assessment question; it is not a backlink promise
SRC-R23-DATA-PREVIEWS	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/growth/research/	repository_observation	required	verified	2026-07-17	R23	Local noindex research previews	China network/SMS and OTP pages publish methods and sample thresholds but no real sample corpus
SRC-R23-OUTREACH-LEDGER	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/outreach/backlink-prospects.csv	repository_observation	required	verified	2026-07-17	R23	Earned-link prospect ledger	No contacted, accepted or live result fields are populated
SRC-R24-PROSPECT-LEDGER	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/outreach/backlink-prospects.csv	repository_observation	required	verified	2026-07-17	R24	Prospect qualification ledger	Twenty-three distinct candidate URLs across twenty-two hostnames; one general contribution policy and no getgiffgaff-specific permission or live result
SRC-R24-SSNHD-REPO	https://github.com/ssnhd/giffgaff	public_repository	important	verified	2026-07-17	R24	ssnhd/giffgaff repository root	Public root displayed README.md and .DS_Store only; no visible CONTRIBUTING or resource-submission policy
SRC-R25-GITHUB-AUP	https://docs.github.com/en/site-policy/acceptable-use-policies/github-acceptable-use-policies	official_policy	required	verified	2026-07-17	R25	GitHub Acceptable Use Policies	Official spam and inauthentic-activity boundaries
SRC-R25-GITHUB-COMMUNITY	https://docs.github.com/en/site-policy/github-terms/github-community-guidelines	official_policy	important	verified	2026-07-17	R25	GitHub Community Guidelines	Software collaboration is the primary purpose; maintainers may publish repository-specific expectations
SRC-R25-ZHIHU-TERMS	https://www.zhihu.com/term/zhihu-terms	official_policy	important	verified	2026-07-17	R25	Zhihu agreement	Top-level agreement was readable and points content publication to the community rules
SRC-R25-ZHIHU-INSTITUTION-USAGE	https://www.zhihu.com/term/institution-usage	official_policy	important	verified	2026-07-17	R25	Zhihu Institution Account Usage Specification (Trial)	Later independent refresh: official undated institution-account rule page returned substantive direct and Jina text; no personal-account or specific publication/link permission inferred
SRC-R25-BILIBILI-TERMS	https://www.bilibili.com/blackboard/protocal/licence.html	official_policy	important	verified	2026-07-17	R25	Bilibili user agreement	Current manifest identifies update 2025-04-30 and bans transmitting advertising letters, promotional material and spam; content rights/authorization remain the uploader's responsibility
SRC-R25-X-AUTHENTICITY	https://help.x.com/en/rules-and-policies/authenticity	official_policy	important	verified	2026-07-17	R25	X Authenticity policy	Later independent refresh: Jina returned substantive April 2025 policy text while direct unauthenticated curl remained Cloudflare-challenged; narrow content-spam fact only
SRC-R26-LINK-GRAPH	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/research/seo-geo-hive-2026-07-17/link-graph-r26.tsv	repository_observation	required	verified	2026-07-17	R26	Rendered thematic link graph	Generated from the local release artifact after excluding sitewide navigation, footer, docs navigation and buying guide
