evidence_id	claim_group_id	claim	claim_value	entity	timeframe	source_id	source_url	source_type	access_date	excerpt_or_observation	evidence_grade	supports	counter_evidence	verification_status	confidence	independent_source_count	source_independence	reviewer_status	review_notes
EV-001	CG-SRC-001-OBSERVATION	"不保证实时更新： MobaXterm Latest Version 24.3 (2024-10-30) 汉化最新版本：24.3, 总进度 100% About MobaXterm 简体中文汉化版🌏🖥🖥🖥 【💌慢工精心制作，""提示""也汉化💻】 【😍控件布局精细调整】 Topics chinese-simplified mobaxterm Resources Readme Uh oh!"	unstructured_observation	Chinese	2024-01	SRC-001	https://github.com/RipplePiam/MobaXterm-Chinese-Simplified	repo	2026-07-22	"不保证实时更新： MobaXterm Latest Version 24.3 (2024-10-30) 汉化最新版本：24.3, 总进度 100% About MobaXterm 简体中文汉化版🌏🖥🖥🖥 【💌慢工精心制作，""提示""也汉化💻】 【😍控件布局精细调整】 Topics chinese-simplified mobaxterm Resources Readme Uh oh!"	weak	inference		single_source	low	1	independent	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-002	CG-SRC-001-OBSERVATION	--> Search Clear Search syntax tips Provide feedback --> We read every piece of feedback, and take your input very seriously.	unstructured_observation	Chinese	unknown	SRC-001	https://github.com/RipplePiam/MobaXterm-Chinese-Simplified	repo	2026-07-22	--> Search Clear Search syntax tips Provide feedback --> We read every piece of feedback, and take your input very seriously.	weak	inference		single_source	low	1	duplicate	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-003	CG-SRC-002-OBSERVATION	Mainland China [ edit ] The Law of the People's Republic of China on the National Common Language and Characters implies that simplified Chinese characters are the country's standard script, with traditional Chinese being used for purposes such as ceremonies, cultural purposes such as calligraphy, for decoration, in publications and books on ancient literature and poetry, and for research purposes.	unstructured_observation	Chinese	unknown	SRC-002	https://en.wikipedia.org/wiki/Chinese_Simplified	encyclopedia	2026-07-22	Mainland China [ edit ] The Law of the People's Republic of China on the National Common Language and Characters implies that simplified Chinese characters are the country's standard script, with traditional Chinese being used for purposes such as ceremonies, cultural purposes such as calligraphy, for decoration, in publications and books on ancient literature and poetry, and for research purposes.	weak	inference		single_source	low	1	independent	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-004	CG-SRC-002-OBSERVATION	"Find sources: ""Simplified Chinese characters"" – news · newspapers · books · scholar · JSTOR ( April 2018 ) ( Learn how and when to remove this message ) This article may contain original research ."	unstructured_observation	Chinese	2018	SRC-002	https://en.wikipedia.org/wiki/Chinese_Simplified	encyclopedia	2026-07-22	"Find sources: ""Simplified Chinese characters"" – news · newspapers · books · scholar · JSTOR ( April 2018 ) ( Learn how and when to remove this message ) This article may contain original research ."	weak	inference		single_source	low	1	duplicate	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-005	CG-SRC-003-OBSERVATION	--> Search Clear Search syntax tips Provide feedback --> We read every piece of feedback, and take your input very seriously.	unstructured_observation	Chinese	unknown	SRC-003	https://github.com/chinakids/atom-simplified-chinese-menu	repo	2026-07-22	--> Search Clear Search syntax tips Provide feedback --> We read every piece of feedback, and take your input very seriously.	weak	inference		single_source	low	1	independent	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-006	CG-SRC-003-OBSERVATION	Activity Stars 1.3k stars Watchers 49 watching Forks 135 forks Report repository Releases 11 1.9.0+适配版本 Latest Sep 2, 2016 + 10 releases Packages 0 Uh oh!	unstructured_observation	Chinese	2016	SRC-003	https://github.com/chinakids/atom-simplified-chinese-menu	repo	2026-07-22	Activity Stars 1.3k stars Watchers 49 watching Forks 135 forks Report repository Releases 11 1.9.0+适配版本 Latest Sep 2, 2016 + 10 releases Packages 0 Uh oh!	weak	inference		single_source	low	1	duplicate	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-007	CG-SRC-004-OBSERVATION	"Retrieved from "" https://en.wikipedia.org/w/index.php?title=Chinese simplification&oldid=1306911079 "" Category : Disambiguation pages Hidden categories: Short description is different from Wikidata All article disambiguation pages All disambiguation pages This page was last edited on 20 August 2025, at 11:44 (UTC) ."	unstructured_observation	Chinese	2025	SRC-004	https://en.wikipedia.org/wiki/Chinese_simplification	encyclopedia	2026-07-22	"Retrieved from "" https://en.wikipedia.org/w/index.php?title=Chinese simplification&oldid=1306911079 "" Category : Disambiguation pages Hidden categories: Short description is different from Wikidata All article disambiguation pages All disambiguation pages This page was last edited on 20 August 2025, at 11:44 (UTC) ."	weak	inference		single_source	low	1	independent	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-008	CG-SRC-004-OBSERVATION	If an internal link incorrectly led you here, you may wish to change the link to point directly to the intended article.	unstructured_observation	Chinese	unknown	SRC-004	https://en.wikipedia.org/wiki/Chinese_simplification	encyclopedia	2026-07-22	If an internal link incorrectly led you here, you may wish to change the link to point directly to the intended article.	weak	inference		single_source	low	1	duplicate	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-009	CG-SRC-005-OBSERVATION	"特别感谢 AlyxMS 从 A3 开始和作者紧密联系并共同创建了本项目 Bigmap 伟大的国旗哥 duduluu （风之起灵） 一手拉起了边缘汉化组 本项目地址 GitHub ： https://github.com/Ludeon/RimWorld-ChineseSimplified 链接 百度贴吧 RimWorld 吧 翻译工具 RimTrans 饼叔的游戏笔记 GameJiLu.com About No description, website, or topics provided."	unstructured_observation	Chinese	unknown	SRC-005	https://github.com/Ludeon/RimWorld-ChineseSimplified	repo	2026-07-22	"特别感谢 AlyxMS 从 A3 开始和作者紧密联系并共同创建了本项目 Bigmap 伟大的国旗哥 duduluu （风之起灵） 一手拉起了边缘汉化组 本项目地址 GitHub ： https://github.com/Ludeon/RimWorld-ChineseSimplified 链接 百度贴吧 RimWorld 吧 翻译工具 RimTrans 饼叔的游戏笔记 GameJiLu.com About No description, website, or topics provided."	weak	inference		single_source	low	1	independent	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-010	CG-SRC-005-OBSERVATION	安装方法 下载压缩包 解压缩得到「Core」、「Royalty」、「Ideology」、「Biotech」、「Anomaly」文件夹 删除 RimWorld 安装目录 > Data > Core/Royalty/Ideology/Biotech/Anomaly > Languages 内的「ChineseSimplified (简体中文).tar」文件 在上一步的目录中新建文件夹，命名为「ChineseSimplified (简体中文)」，并将解压缩得到的文件夹中的内容放入对应目录 注意事项 内置翻译落后 ：官方内置的翻译版本落后，玩家可自行下载安装。	unstructured_observation	Chinese	unknown	SRC-005	https://github.com/Ludeon/RimWorld-ChineseSimplified	repo	2026-07-22	安装方法 下载压缩包 解压缩得到「Core」、「Royalty」、「Ideology」、「Biotech」、「Anomaly」文件夹 删除 RimWorld 安装目录 > Data > Core/Royalty/Ideology/Biotech/Anomaly > Languages 内的「ChineseSimplified (简体中文).tar」文件 在上一步的目录中新建文件夹，命名为「ChineseSimplified (简体中文)」，并将解压缩得到的文件夹中的内容放入对应目录 注意事项 内置翻译落后 ：官方内置的翻译版本落后，玩家可自行下载安装。	weak	inference		single_source	low	1	duplicate	accepted	Heuristic sentence extraction; verify manually before relying on it.
