evidence_id	claim_group_id	claim	claim_value	entity	timeframe	source_id	source_url	source_type	access_date	excerpt_or_observation	evidence_grade	supports	counter_evidence	verification_status	confidence	independent_source_count	source_independence	reviewer_status	review_notes
EC-R16-01	append-only-boundary	The frozen legacy baseline contains 34 route records with title description H1 navigation visible-text and DOM signatures	34_frozen_routes	getgiffgaff legacy baseline	2026-07-17	SRC-R16-FREEZE	repo://site/legacy/legacy-freeze-manifest.json	repository	2026-07-17	legacy-freeze-manifest.json reports schemaVersion legacy-freeze-v2 and 34 page entries with route-level signature fields	strong	fact	A manifest does not by itself prove every future release still matches it	single_source	high	1	independent	pending	Worker direct observation; curator must independently rerun the freeze gate
EC-R16-02	append-only-boundary	Additive related tutorial blocks are registered on nine specific legacy routes rather than all legacy pages	9_registered_slot_routes	getgiffgaff additive internal links	2026-07-17	SRC-R16-RELATED	repo://site/growth/related-links.json	repository	2026-07-17	The registry has nine route keys: guides 0 1 2 3 4 5 and 6, more 03-esim, and answers	strong	fact	Registration does not prove the rendered release has no duplicate or misplaced slot	single_source	high	1	independent	pending	Append-only opportunity is bounded to the approved registry; no new slot was proposed
EC-R16-03	append-only-boundary	The release contract strips only the named additive related-tutorial and commerce-widget sections before comparing frozen legacy signatures	named_slots_excluded_then_legacy_compared	getgiffgaff release contract	2026-07-17	SRC-R16-GATE	repo://test/static-worker-contract.test.mjs	repository	2026-07-17	withoutGrowthSlot removes data-growth-slot related-tutorials-v1 and wechat-buying-guide-v1; the test then compares title description H1 navigation visible copy and legacy DOM to the freeze manifest	strong	fact	Passing source logic still requires an actual test run on the candidate artifact	single_source	high	1	independent	pending	This supports append-only architecture, not permission to edit frozen body or navigation
EC-R17-01	search-submission-boundary	Submitting a sitemap to Google is a hint and does not guarantee download or use for crawling	receipt_or_hint_not_indexing	Google Search	current public guidance accessed 2026-07-17	SRC-R17-GOOGLE-SITEMAP	https://developers.google.com/search/docs/crawling-indexing/sitemaps/build-sitemap	official	2026-07-17	Google states: submitting a sitemap is merely a hint; it does not guarantee Google will download the sitemap or use it for crawling site URLs	strong	fact	A verified GSC property can still provide useful fetch and processing readback	corroborated	high	2	independent	pending	Corroborates IndexNow receipt boundary but does not report getgiffgaff property state
EC-R17-02	search-console-measurement	The GSC Sitemaps report requires owner permission to submit and reports submission history fetch status parsing errors and discovered pages	gsc_owner_and_report_scope	Google Search Console	current public guidance accessed 2026-07-17	SRC-R17-GSC-REPORT	https://support.google.com/webmasters/answer/7451001?hl=en	official	2026-07-17	Official help says owner permissions are required to submit in the report; it exposes last request status, parsing errors and discovered pages, and warns not all sitemap URLs may be crawled	strong	fact	A sitemap can also be advertised through robots.txt without using this report	single_source	high	1	independent	pending	Use this to define the required dated backend export, not as proof of current ingestion
EC-R17-03	search-submission-boundary	An IndexNow HTTP 200 response means the engine received the URL or URL set, not that it crawled or indexed it	receipt_or_hint_not_indexing	IndexNow	current public protocol accessed 2026-07-17	SRC-R17-INDEXNOW	https://www.indexnow.org/documentation	official	2026-07-17	Protocol documentation says the HTTP 200 response code only indicates the search engine has received the URL or set of URLs	strong	fact	A later engine dashboard may separately show receipt crawling or indexing state	corroborated	high	2	independent	pending	Corroborates Google's submission boundary at the general measurement level
EC-R17-04	indexnow-verification	Bing's IndexNow setup requires a key hosted on the site submission of changed URLs and verification in Bing Webmaster Tools	key_submit_then_backend_verify	Bing and IndexNow	current public guidance accessed 2026-07-17	SRC-R17-BING-INDEXNOW	https://www.bing.com/indexnow/getstarted	official	2026-07-17	Microsoft lists four steps: generate API key, host key, submit URLs, then use Bing Webmaster Tools to verify URLs were received	strong	fact	Receipt in Bing Webmaster Tools still does not establish indexation or ranking	single_source	high	1	independent	pending	No IndexNow request was sent in this worker run
EC-R17-05	indexnow-getgiffgaff-receipt	The repository records that 39 canonical URLs received an IndexNow HTTP 202 on 2026-07-16	39_urls_http_202_key_pending	getgiffgaff IndexNow batch	2026-07-16	SRC-R17-REPO-RECEIPT	repo://docs/seo-release-runbook.md	repository	2026-07-17	Runbook line 127 records a 39-URL submission to api.indexnow.org with HTTP 202 and states this only means batch received with key validation pending	strong	fact	No current Bing IndexNow Insights export was supplied to show later validation crawl or index state	single_source	medium	1	independent	pending	Historical repository record; curator should require raw receipt or backend export before upgrading confidence
EC-R17-06	search-backend-readback	Current GSC and Bing sitemap ingestion for the 39 URLs cannot be verified from public pages without an authorized property readback	backend_readback_blocked	getgiffgaff search properties	2026-07-17	SRC-R17-GSC-BACKEND	https://search.google.com/search-console/sitemaps	account-only	2026-07-17	The public request redirected to authentication; no authorized screenshot export or property session was supplied and the worker did not log in	blocked	fact	Public sitemap and IndexNow receipt establish discoverability inputs but not backend ingestion	blocked	blocked	0	unknown	pending	Blocked card; authorized owner should export dated sitemap and URL inspection results
EC-R17-07	search-backend-readback	Current Bing sitemap and IndexNow Insights state cannot be verified without an authorized Bing Webmaster Tools readback	backend_readback_blocked	getgiffgaff Bing property	2026-07-17	SRC-R17-BING-BACKEND	https://www.bing.com/webmasters/home	account-only	2026-07-17	The public request redirected to authentication; no authorized screenshot or export was supplied and the worker did not log in	blocked	fact	The repository records only an earlier protocol receipt, not current engine processing	blocked	blocked	0	unknown	pending	Blocked card; authorized owner should export sitemap status and IndexNow Insights
