cluster_id,query,normalized_intent,serp_evidence,relationship,url_owner,action,conversion_distance,topic_dilution_risk,compliance_risk,priority,notes
sms-diagnosis,英国手机号收不到验证码,英国号码短信或平台OTP故障排查,"DDG top10含giffgaff教程/问答/泛短信排障；与giffgaff查询共享2 URL",same-cluster,https://getgiffgaff.com/guides/4-signal/,merge,near-1-2-clicks,low,medium,P0,"扩写近义词，不建平行URL；禁止接码推荐"
sms-diagnosis,英国号码收不到短信,英国号码所有短信失败,DDG结果不稳定；任务属于所有短信基线,same-page,https://getgiffgaff.com/guides/4-signal/,merge,near-1-2-clicks,low,medium,P0,"先分所有短信与单平台OTP"
sms-diagnosis,giffgaff 收不到验证码,giffgaff短信与平台OTP诊断,"DDG top10含本站/giffgaff社区/教程；与英国手机号查询共享2 URL",primary-owner,https://getgiffgaff.com/guides/4-signal/,keep,near-1-click,low,medium,P0,"现有诊断支柱"
sms-diagnosis,giffgaff ChatGPT 验证码,giffgaff在ChatGPT场景的OTP样本,Bing RSS与giffgaff Claude验证码返回相同泛教程top10,same-page,https://getgiffgaff.com/guides/4-signal/,merge,near-1-2-clicks,low,high,P2,"无合格样本前不建平台页、不承诺可用"
sms-diagnosis,giffgaff Claude 验证码,giffgaff在Claude场景的OTP样本,Bing RSS与ChatGPT变体返回相同泛教程top10,same-page,https://getgiffgaff.com/guides/4-signal/,merge,near-1-2-clicks,low,high,P2,"配合/research/otp-status/"
claude-id,Claude 身份验证,政府证件与自拍身份核验,"DDG有官方中文页；与Claude KYC共享3/10 URL",primary-owner,https://getgiffgaff.com/guides/claude-identity-verification/,create,far-3-clicks,medium-high,very-high,P0,"官方证据型hub；不是手机号验证"
claude-id,Claude KYC,Claude证件身份核验,"667 Bing impressions；Bing SERP首位官方Identity verification；DDG与身份验证共享3/10",same-page,https://getgiffgaff.com/guides/claude-identity-verification/,merge,far-3-clicks,medium-high,very-high,P0,"KYC作副词，不建/claude-kyc/平行页"
claude-id,Claude 实名认证,Claude证件身份核验,DDG Claude身份验证结果大量使用实名/刷脸近义表述,same-page,https://getgiffgaff.com/guides/claude-identity-verification/,merge,far-3-clicks,medium-high,very-high,P0,"只允许本人真实证件"
claude-id,Claude KYC 失败,官方身份核验失败,官方同一文档覆盖失败原因/重试/支持表单,same-page,https://getgiffgaff.com/guides/claude-identity-verification/,merge,far-3-clicks,medium-high,very-high,P0,"不另建失败页"
claude-phone,Claude 手机号验证,短信六位码验证号码控制权,Bing主线SERP有官方中文电话验证；官方规则与证件KYC不同,separate-spoke,https://getgiffgaff.com/guides/claude-phone-verification/,create,mid-near-2-clicks,medium,high,P0,"官方拒绝VoIP/Google Voice/应用生成号码"
claude-phone,Claude 验证码收不到,Claude电话验证码故障,官方电话验证FAQ覆盖未收到/发送错误/验证码失效,same-page,https://getgiffgaff.com/guides/claude-phone-verification/,merge,mid-near-2-clicks,medium,high,P0,"链接/guides/4-signal/做普通短信基线"
claude-phone,Claude 更换手机号,Claude账号换绑号码,官方中文FAQ明确验证后不能更改关联号码,same-page,https://getgiffgaff.com/guides/claude-phone-verification/,merge,mid-2-clicks,medium,high,P1,"答案应直接说明当前官方限制"
claude-appeal,Claude 封号,Claude账号禁用与合法申诉,"922 Bing impressions；相关变体约2.1K；DDG top10为原因/Code/申诉混排",primary-owner,https://getgiffgaff.com/guides/claude-account-disabled-appeal/,create,far-3-clicks,medium-high,very-high,P0,"先区分账号禁用/组织暂停/技术性403"
claude-appeal,Claude 被封 403,403与账号禁用诊断,DDG top10同现Code/403/封号/申诉,same-page,https://getgiffgaff.com/guides/claude-account-disabled-appeal/,merge,far-3-clicks,medium-high,very-high,P0,"不能默认所有403都是封号"
claude-appeal,Claude Code 封号,Claude Code账号/组织状态,"560 Bing impressions；DDG封号SERP同现Code页面",same-page,https://getgiffgaff.com/guides/claude-account-disabled-appeal/,merge,far-3-clicks,medium-high,very-high,P0,"不写地区或政策规避"
claude-appeal,Claude 账号申诉,官方申诉流程,官方Safeguards warnings and appeals提供申诉与数据导出删除,same-page,https://getgiffgaff.com/guides/claude-account-disabled-appeal/,merge,far-3-clicks,medium-high,very-high,P0,"只链官方入口"
chatgpt-kyc,ChatGPT KYC,混杂的用户实名/网络安全可信访问/用ChatGPT做KYC,"仅17 Bing impressions/3M；与ChatGPT登录/手机号查询均0/10重合",separate-exclude,,discard,very-far-3-4-clicks,high,very-high,no,"不建泛KYC页"
chatgpt-auth,ChatGPT 身份验证失败,登录认证故障,"DDG top10含OpenAI官方无法登录；与手机号验证0/10",separate-defer,,defer,far-3-clicks,high,medium,P3,"有自有查询量后再建登录排障"
chatgpt-phone,ChatGPT 手机号验证,注册或二次手机验证,"DDG/Brave top10大量接码和100%成功内容；无足够Bing趋势",separate-defer,,defer,mid-2-clicks,high,very-high,P3,"禁止接码；未来先核官方政策"
chatgpt-phone,ChatGPT 验证码收不到,ChatGPT手机号OTP故障,Bing中文结果不形成稳定专属结果组,separate-defer,,defer,mid-2-clicks,high,high,P3,"不从词面并入KYC"
generic-kyc,海外账号 KYC,跨平台/金融KYC,"DDG top10主要银行开户/跨境支付/企业KYC；与AI查询0/10",separate-exclude,,discard,very-far-4-5-clicks,very-high,very-high,no,"YMYL且无唯一通用流程"
generic-number,海外账号换手机号,跨平台账号换绑,"DDG top10分散为华为/网易/Apple ID/号码获取；与AI/短信查询0/10",separate-exclude,,discard,very-far-4-clicks,very-high,high,no,"平台专属流程不能写大全"
