target_page,prospect_url,policy_url,checked_at,contact_scope,acceptance_evidence,relationship,asset_readiness,blocker,qualification,reason,next_safe_action,relevance,pitch_angle,first_contact,next_follow_up,status,live_url,live_evidence_url,notes
/guides/7-arrival-checklist/,https://toomanyadapters.com/buying-sim-card-united-kingdom/,,2026-07-17,public_editorial_contact,none_found,none,ready,acceptance_not_verified,qualified,Strong UK arrival SIM fit but public contact does not prove resource acceptance,Verify current editorial policy and named editor scope before any tailored pitch,UK tourist SIM guide,Offer the source-dated China arrival and physical SIM inspection checklist as an optional reader resource,,,research,,,No paid placement reciprocal request or copied text
/guides/7-arrival-checklist/,https://www.savethestudent.org/student-deals/mobile-phones/250-minutes-unlimited-texts-unlimited-data-12.html,,2026-07-17,deal_page,none_found,none,ready,stale_or_transactional_page,reject,Old deal intent is not a suitable editorial resource page,Do not contact; retain only as an audit trail,International student mobile deal,No outreach approved,,,reject,,,Rejected by R24 qualification
/guides/7-arrival-checklist/,https://www.10100.com/article/28121979,,2026-07-17,platform_author_message,none_found,none,ready,platform_permission_unverified,reject,Platform author messaging is not evidence that promotional resource updates are accepted,Do not contact or comment,Chinese cross-border guide,No outreach approved,,,reject,,,Avoid platform spam
/guides/8-uk-sim-choice/,https://www.expertreviews.co.uk/technology/broadband-mobile-networks/giffgaff-review,https://www.expertreviews.co.uk/contact-us,2026-07-17,public_editorial_contact,none_found,none,ready,acceptance_not_verified,qualified,Independent network review has strong decision-framework alignment,Confirm the contact route covers editorial corrections or resource suggestions,Independent mobile network review,Offer the evidence-dated Chinese scenario decision framework with full commercial disclosure,,,research,,,Contact page is not acceptance evidence
/guides/8-uk-sim-choice/,https://www.simsherpa.com/networks/giffgaff/review-and-guide,,2026-07-17,public_site_contact,none_found,none,ready,editorial_policy_unverified,research,Topical fit exists but contribution policy and current maintenance need checking,Research editorial ownership and policy only,Hands-on giffgaff comparison guide,Offer the scenario framework as an optional Chinese-language resource,,,research,,,No reciprocal-link condition
/guides/8-uk-sim-choice/,https://mingnify.com/zh/blog/p/giffgaff-uk-sim-guide/,,2026-07-17,author_contact_form,none_found,none,ready,commercial_fit_and_acceptance_unverified,reject,R24 found insufficient editorial independence and acceptance evidence,Do not contact,Chinese digital-nomad guide,No outreach approved,,,reject,,,Retained to prevent duplicate outreach
/tools/keep-number-reminder/,https://www.duoplus.cn/blog/giffgaff-keep-number-guide-2026/,,2026-07-17,public_site_contact,none_found,none,ready,editorial_policy_unverified,research,Current keep-number fit but public contact is not contribution permission,Verify author ownership and update policy before considering contact,Chinese keep-number guide,Offer the local-only ICS reminder with official inactivity source,,,research,,,No claim of permanent retention
/tools/keep-number-reminder/,https://kenstechtips.com/index.php/giffgaff-review,,2026-07-17,public_author_contact,none_found,none,ready,qualification_rejected,reject,R24 rejected this candidate for this campaign,Do not contact,UK telecom guide,No outreach approved,,,reject,,,No paid or reciprocal placement
/tools/keep-number-reminder/,https://github.com/ssnhd/giffgaff,,2026-07-17,github_issues_after_policy_review,none_found,none,ready,contribution_policy_unverified,research,Repository relevance exists but issues are not a promotional channel by default,Check README contributing files and maintainer instructions; do not open an issue without permission,Chinese lifecycle guide,Propose only if maintainers explicitly accept relevant resource suggestions,,,research,,,No issue has been opened
/tools/china-roaming-cost/,https://www.simonlyfinder.co.uk/guides/giffgaff-roaming,,2026-07-17,public_site_contact,none_found,none,ready,acceptance_not_verified,qualified,Strong roaming-method fit after PAYG formula correction,Verify a current editorial contact and policy before any tailored suggestion,Independent giffgaff roaming guide,Offer the source-dated China PAYG calculator and its Travel Data Add-on boundary,,,research,,,Public contact route not yet verified
/tools/china-roaming-cost/,https://www.choose.co.uk/mobile/giffgaff/reviews/,,2026-07-17,public_editorial_contact,none_found,none,ready,qualification_rejected,reject,R24 rejected campaign fit and no acceptance evidence was found,Do not contact,Independent network comparison,No outreach approved,,,reject,,,Do not imply testing or endorsement
/tools/china-roaming-cost/,https://selectra.co.uk/mobile/networks/giff-gaff,,2026-07-17,public_editorial_contact,none_found,none,ready,acceptance_not_verified,research,R07 topical signal exists but editorial acceptance remains unverified,Research current page owner and editorial policy,Mobile network review with roaming section,Offer source-dated PAYG methodology only if policy permits,,,research,,,No paid or reciprocal placement
/tools/g0-g2-total-cost/,https://www.giffgaff-china.com/instructions,,2026-07-17,site_contact,none_found,direct_competitor,ready,competitor_conflict,reject,Direct commercial conflict makes unsolicited link outreach inappropriate,Do not contact,Chinese transaction and tutorial hub,No outreach approved,,,reject,,,No link exchange
/tools/g0-g2-total-cost/,https://www.giffgaff.shop/guides/,,2026-07-17,site_contact,none_found,direct_competitor,ready,competitor_conflict,reject,Direct commercial conflict and no acceptance evidence,Do not contact,Chinese transaction and tutorial cluster,No outreach approved,,,reject,,,Do not disclose private commercial data
/tools/g0-g2-total-cost/,https://www.cnblogs.com/DSYR/p/18991953,,2026-07-17,platform_author_message,none_found,none,ready,platform_permission_unverified,reject,Comment or author-message promotion would create spam risk,Do not contact or comment,Chinese first-hand tutorial,No outreach approved,,,reject,,,Retained as do-not-contact record
/guides/7-arrival-checklist/,https://www.bristol.ac.uk/students/new/before-you-arrive/,,2026-07-17,university_content_owner,none_found,none,ready,commercial_resource_policy_unverified,qualified,University arrival resource is a strong audience fit but acceptance is not established,Identify the exact student-arrival content owner and policy before any suggestion,International student pre-arrival resource,Offer a neutral SIM arrival checklist with commercial relationship disclosed,,,research,,,R06 qualified research opportunity
/guides/8-uk-sim-choice/,https://www.ucl.ac.uk/study/current-students/international-students/international-support,,2026-07-17,university_content_owner,none_found,none,ready,commercial_resource_policy_unverified,qualified,International support audience aligns with UK SIM choice needs,Verify the responsible team and external-resource policy,International student support,Offer a non-best-card decision checklist only if policy permits,,,research,,,R06 qualified research opportunity
/guides/8-uk-sim-choice/,https://www.bath.ac.uk/topics/studying-at-bath-as-an-international-student/,,2026-07-17,university_content_owner,none_found,none,ready,commercial_resource_policy_unverified,qualified,International student topic hub has relevant arrival context,Find a specific maintained page and its external-resource policy,International student topic hub,Offer coverage-first UK SIM selection guidance with disclosure,,,research,,,R06 qualified research opportunity
/guides/7-arrival-checklist/,https://www.rca.ac.uk/study/international-students/,,2026-07-17,university_content_owner,none_found,none,ready,commercial_resource_policy_unverified,qualified,International student hub is relevant to arrival readiness,Verify content ownership and whether commercial resources are prohibited,International student arrival hub,Offer the inspection checklist only after policy confirmation,,,research,,,R06 qualified research opportunity
/guides/8-uk-sim-choice/,https://www.brookes.ac.uk/students/isat,,2026-07-17,university_content_owner,none_found,none,ready,commercial_resource_policy_unverified,qualified,International student advice context is topically aligned,Locate the exact maintained arrival page and content owner,International student advice,Offer a neutral UK SIM decision framework only if permitted,,,research,,,R06 qualified research opportunity
/guides/8-uk-sim-choice/,https://www.expatica.com/uk/,,2026-07-17,editorial_team,none_found,none,ready,specific_page_and_acceptance_unverified,qualified,R07 qualified the publisher but a live matching article and acceptance policy require confirmation,Research a current UK mobile page and editorial policy before contact,UK expat living publisher,Offer the Chinese international-arrival decision framework as a supplementary resource,,,research,,,No specific live target page claimed
/guides/8-uk-sim-choice/,https://www.uswitch.com/mobiles/compare/sim_only_deals/giffgaff/,,2026-07-17,editorial_or_commercial_team,none_found,commercial_comparison_site,ready,editorial_scope_unverified,qualified,R07 qualified topical authority but contact and commercial relationship require care,Identify a named editorial corrections route and disclose seller status,UK mobile comparison,Offer evidence corrections or a neutral Chinese decision resource only if editorial policy permits,,,research,,,No endorsement or acceptance claimed
/tools/esim-compatibility/,https://github.com/fazalrshah/awesome-esim-resources,https://github.com/fazalrshah/awesome-esim-resources,2026-07-17,github_pull_request_after_release_gates,README_contributions_welcome,commercial_site_to_public_repository,blocked,tool_noindex_and_release_identity_commerce_gates_open,qualified,README explicitly welcomes genuinely useful traveler contributions but does not pre-approve this commercial tool,Do not open a PR until the tool is index-ready and the maintainer scope commercial disclosure and release gates are confirmed,Traveler eSIM compatibility resources,Propose only a provider-neutral compatibility caveat or tool after explicit scope review and full commercial disclosure,,,research,,,No Issue or PR opened; general contribution policy is not placement permission
/tools/keep-number-reminder/,https://www.producthunt.com/launch,https://help.producthunt.com/en/articles/9883485-product-hunt-featuring-guidelines,2026-07-23,personal_maker_submission,official_launch_and_featuring_guides,none,ready,production_page_and_launch_timing_pending,qualified,Live digital utility fits the product-launch format but the current onsite experiment should finish before adding an external traffic source,After production verification schedule one transparent maker launch with direct tool URL,Digital product discovery,Launch the local-only calendar utility rather than the commercial homepage,,,research,,,No submission made; launch copy is in keep-number-reminder-launch-kit-2026-07-23.md
/tools/keep-number-reminder/,https://microlaunch.net/hq,https://microlaunch.net/hq,2026-07-23,product_submission,current_submit_flow,none,ready,production_page_and_first_launch_observation_pending,qualified,Small utility is compatible with the current product submission flow but should be tested after the first launch channel,Use only after the first launch has seven days of reviewed referral and tool-result data,Indie product discovery,Position as a free private browser utility with a visible non-guarantee boundary,,,research,,,No submission made; do not launch simultaneously with Product Hunt
